SMILES,preds_0,preds_1
CC(C)=CCC\C(C)=C/CC\C(C)=C/CO,0,-0.299
Cl.COC(=O)C12CC3CCC1(C)C3(C)CN2,0,-0.277
CC1(C)C2CC(=O)C1(C)CC2O,0,-0.271
Br.Oc1cc(on1)C1CCNCC1,0,-0.361
Cn1ncc2cc(CN)ccc12,0,-0.407
OC(=O)c1cc(Cl)cs1,0,-0.266
Cl.Cc1cc(CN)ncc1Br,0,-0.455
CO[C@@H](C)[C@@H](N)C(O)=O,0,-0.315
Nc1ccc(Br)c(F)c1[N+]([O-])=O,0,-0.265
Cc1ccc(F)c(n1)C#N,0,-0.439
Cl.Cc1ccc(F)c(CN)n1,0,-0.258
OC(=O)Cc1cccc(Br)c1F,0,-0.371
Nc1c(Br)cccc1C(F)(F)F,0,-0.466
CC(C)(C)OC(=O)N1C[C@H]([C@@H](C1)c1cccnc1)C(O)=O,0,-0.204
Cc1cc(C)c(C(CC(=NNC(N)=O)c2cccs2)C(C#N)C#N)c(C)c1,0,-0.139
Oc1ccc(cc1)\N=c1\[nH]c2ccccc2[nH]\c\1=N/c1ccc(O)cc1,0,-0.359
CC(Nc1ccc(Cl)cc1C)C(=O)NN=C(C)c1ccc(Br)cc1,0,-0.317
Cc1nc([nH]c(=O)c1CC(O)=O)N1CCCCC1,0,-0.232
Cc1nc([nH]c(=O)c1CC(O)=O)N1CCOCC1,0,-0.27
Oc1ncnc(O)c1Cl,0,-0.323
O=C1NC(C2CCCC3C(NC(=O)NC23N1)c1ccccc1)c1ccccc1,0,-0.103
